match_number,stage,group,date,time_et,time_local,team_a,team_b,venue,city,country,status,source
33,Group Stage,E,2026-06-20,16:00,16:00,Germany,Côte d’Ivoire,BMO Field,Toronto,Canada,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
34,Group Stage,E,2026-06-20,20:00,19:00,Ecuador,Curaçao,Arrowhead Stadium,Kansas City,United States,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
35,Group Stage,F,2026-06-20,13:00,12:00,Netherlands,Sweden,NRG Stadium,Houston,United States,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
36,Group Stage,F,2026-06-20,00:00,22:00,Tunisia,Japan,Estadio BBVA,Monterrey,Mexico,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
37,Group Stage,H,2026-06-21,18:00,18:00,Uruguay,Cabo Verde,Hard Rock Stadium,Miami,United States,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
38,Group Stage,H,2026-06-21,12:00,12:00,Spain,Saudi Arabia,Mercedes-Benz Stadium,Atlanta,United States,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
39,Group Stage,G,2026-06-21,15:00,12:00,Belgium,Iran,SoFi Stadium,Los Angeles,United States,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
40,Group Stage,G,2026-06-21,21:00,18:00,New Zealand,Egypt,BC Place,Vancouver,Canada,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
41,Group Stage,I,2026-06-22,20:00,20:00,Norway,Senegal,MetLife Stadium,New York/New Jersey,United States,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
42,Group Stage,I,2026-06-22,17:00,17:00,France,Iraq,Lincoln Financial Field,Philadelphia,United States,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
43,Group Stage,J,2026-06-22,13:00,12:00,Argentina,Austria,AT&T Stadium,Dallas,United States,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
44,Group Stage,J,2026-06-22,23:00,20:00,Jordan,Algeria,Levi's Stadium,San Francisco Bay Area,United States,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
45,Group Stage,L,2026-06-23,16:00,16:00,England,Ghana,Gillette Stadium,Boston,United States,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
46,Group Stage,L,2026-06-23,19:00,19:00,Panama,Croatia,BMO Field,Toronto,Canada,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
47,Group Stage,K,2026-06-23,13:00,12:00,Portugal,Uzbekistan,NRG Stadium,Houston,United States,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
48,Group Stage,K,2026-06-23,22:00,20:00,Colombia,Congo DR,Estadio Akron,Guadalajara,Mexico,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
49,Group Stage,C,2026-06-24,18:00,18:00,Scotland,Brazil,Hard Rock Stadium,Miami,United States,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
50,Group Stage,C,2026-06-24,18:00,18:00,Morocco,Haiti,Mercedes-Benz Stadium,Atlanta,United States,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
51,Group Stage,B,2026-06-24,15:00,12:00,Switzerland,Canada,BC Place,Vancouver,Canada,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
52,Group Stage,B,2026-06-24,15:00,12:00,Bosnia and Herzegovina,Qatar,Lumen Field,Seattle,United States,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
53,Group Stage,A,2026-06-24,21:00,19:00,Czechia,Mexico,Estadio Azteca,Mexico City,Mexico,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
54,Group Stage,A,2026-06-24,21:00,19:00,South Africa,Korea Republic,Estadio BBVA,Monterrey,Mexico,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
55,Group Stage,E,2026-06-25,16:00,16:00,Curaçao,Côte d’Ivoire,Lincoln Financial Field,Philadelphia,United States,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
56,Group Stage,E,2026-06-25,16:00,16:00,Ecuador,Germany,MetLife Stadium,New York/New Jersey,United States,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
57,Group Stage,F,2026-06-25,19:00,18:00,Japan,Sweden,AT&T Stadium,Dallas,United States,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
58,Group Stage,F,2026-06-25,19:00,18:00,Tunisia,Netherlands,Arrowhead Stadium,Kansas City,United States,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
59,Group Stage,D,2026-06-25,22:00,19:00,Türkiye,United States,SoFi Stadium,Los Angeles,United States,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
60,Group Stage,D,2026-06-25,22:00,19:00,Paraguay,Australia,Levi's Stadium,San Francisco Bay Area,United States,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
61,Group Stage,I,2026-06-26,15:00,15:00,Norway,France,Gillette Stadium,Boston,United States,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
62,Group Stage,I,2026-06-26,15:00,15:00,Senegal,Iraq,BMO Field,Toronto,Canada,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
63,Group Stage,G,2026-06-26,23:00,20:00,Egypt,Iran,Lumen Field,Seattle,United States,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
64,Group Stage,G,2026-06-26,23:00,20:00,New Zealand,Belgium,BC Place,Vancouver,Canada,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
65,Group Stage,H,2026-06-26,20:00,19:00,Cabo Verde,Saudi Arabia,NRG Stadium,Houston,United States,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
66,Group Stage,H,2026-06-26,20:00,18:00,Uruguay,Spain,Estadio Akron,Guadalajara,Mexico,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
67,Group Stage,L,2026-06-27,17:00,17:00,Panama,England,MetLife Stadium,New York/New Jersey,United States,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
68,Group Stage,L,2026-06-27,17:00,17:00,Croatia,Ghana,Lincoln Financial Field,Philadelphia,United States,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
69,Group Stage,J,2026-06-27,22:00,21:00,Algeria,Austria,Arrowhead Stadium,Kansas City,United States,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
70,Group Stage,J,2026-06-27,22:00,21:00,Jordan,Argentina,AT&T Stadium,Dallas,United States,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
71,Group Stage,K,2026-06-27,19:30,19:30,Colombia,Portugal,Hard Rock Stadium,Miami,United States,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
72,Group Stage,K,2026-06-27,19:30,19:30,Congo DR,Uzbekistan,Mercedes-Benz Stadium,Atlanta,United States,confirmed_group_fixture,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
73,Round of 32,,2026-06-28,15:00,12:00,Group A Runner-up,Group B Runner-up,SoFi Stadium,Los Angeles,United States,bracket_slot,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
74,Round of 32,,2026-06-29,16:30,16:30,Group E Winner,Group A/B/C/D/F 3rd Place,Gillette Stadium,Boston,United States,bracket_slot,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
75,Round of 32,,2026-06-29,21:00,19:00,Group F Winner,Group C Runner-up,Estadio BBVA,Monterrey,Mexico,bracket_slot,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
76,Round of 32,,2026-06-29,13:00,12:00,Group C Winner,Group F Runner-up,NRG Stadium,Houston,United States,bracket_slot,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
77,Round of 32,,2026-06-30,17:00,17:00,Group I Winner,Group C/D/F/G/H 3rd Place,MetLife Stadium,New York/New Jersey,United States,bracket_slot,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
78,Round of 32,,2026-06-30,13:00,12:00,Group E Runner-up,Group I Runner-up,AT&T Stadium,Dallas,United States,bracket_slot,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
79,Round of 32,,2026-06-30,21:00,19:00,Group A Winner,Group C/E/F/H/I 3rd Place,Estadio Azteca,Mexico City,Mexico,bracket_slot,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
80,Round of 32,,2026-07-01,12:00,12:00,Group L Winner,Group E/H/I/J/K 3rd Place,Mercedes-Benz Stadium,Atlanta,United States,bracket_slot,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
